,SPACY,wrong_spacy,,TAGGER,wrong_tagger,,TRANS,,,,,
word,pos,,word,pos,,word,pos,,,,,
I,ADP,,I,præp,,I,PROPN,,wrong spacy = ,28,6.588235294,%
Cassel,PROPN,,Cassel,NNP,,Cassel,PROPN,,wrong tagger =,51,12,%
levede,VERB,,levede,v,,levede,VERB,,,,,
",",PUNCT,,",",ZD,,",",PUNCT,,,,,
under,ADP,,under,præp,,under,ADV,,,,,
den,PRON,,den,pron,,den,DET,,,,,
",",PUNCT,,",",ZD,,,,,,,,
hældigviis,NOUN,1,hældigviis,v,1,hældigviis,ADJ,,,,,
kun,ADV,,kun,adv,,kun,PROPN,,,,,
kort,ADJ,,kort,adv,,kort,ADJ,,,,,
vedvarende,ADJ,,vedvarende,adj,,vedvarende,ADJ,,,,,
Kong,PROPN,,Kong,sb,,Kong,PROPN,,,,,
Jeronimus's,PROPN,,Jeronimus's,NNP,,Jeronimus's,PROPN,,,,,
regjering,NOUN,,regjering,NN,,regjering,PROPN,,,,,
",",PUNCT,,",",ZD,,,,,,,,
en,DET,,en,pron,,en,PROPN,,,,,
enke,NOUN,,enke,NN,,enke,PROPN,,,,,
og,CCONJ,,og,konj,,og,CCONJ,,,,,
hendes,DET,1,hendes,pron,,hendes,DET,,,,,
datter,NOUN,,datter,NN,,datter,NOUN,,,,,
i,ADP,,i,præp,,i,PUNCT,,,,,
dyb,ADJ,,dyb,adj,,dyb,PROPN,,,,,
indgetogenhed,NOUN,,indgetogenhed,NN,,indgetogenhed,ADJ,,,,,
.,PUNCT,,.,ZP,,.,PUNCT,,,,,
De,PRON,,De,pron,,De,PROPN,,,,,
ernærede,VERB,,ernærede,v,,ernærede,VERB,,,,,
sig,PRON,,sig,pron,,sig,PROPN,,,,,
af,ADP,,af,præp,,af,PROPN,,,,,
renterne,NOUN,,renterne,sb,,renterne,PROPN,,,,,
af,ADP,,af,præp,,,,,,,,
en,DET,,en,pron,1,,,,,,,
lille,ADJ,,lille,adj,,lille,ADJ,,,,,
capital,NOUN,,capital,sb,,capital,PROPN,,,,,
.,PUNCT,,.,ZP,,,,,,,,
Deres,DET,,Deres,pron,,Deres,PROPN,,,,,
rygte,NOUN,,rygte,NN,,rygte,NOUN,,,,,
var,AUX,,var,v,,var,VERB,,,,,
ubeskaaret,VERB,1,ubeskaaret,sb,1,ubeskaaret,ADJ,,,,,
.,PUNCT,,.,ZP,,,,,,,,
Vel,ADV,,Vel,adv,,Vel,PROPN,,,,,
heed,NOUN,1,heed,NN,1,heed,NOUN,,,,,
det,PRON,,det,pron,,det,PRON,,,,,
om,ADP,,om,præp,,om,NOUN,,,,,
dem,PRON,,dem,pron,,dem,PROPN,,,,,
begge,PRON,,begge,pron,,begge,NOUN,,,,,
",",PUNCT,,",",ZD,,,,,,,,
at,SCONJ,,at,konj,,at,PROPN,,,,,
de,PRON,,de,pron,,de,PROPN,,,,,
ikke,ADV,,ikke,adv,,ikke,PART,,,,,
vare,VERB,,vare,v,,vare,NOUN,,,,,
de,DET,,de,pron,,franske,ADJ,,,,,
franske,ADJ,,franske,adj,,som,PROPN,,,,,
",",PUNCT,,",",ZD,,gang,PROPN,,,,,
som,ADP,,som,pron,,stor,ADJ,,,,,
den,DET,,den,pron,,mængde,NOUN,,,,,
gang,NOUN,,gang,NN,,opholdt,VERB,,,,,
i,ADP,,i,præp,,meget,ADV,,,,,
stor,ADJ,,stor,adj,,hengivne;,ADJ,,,,,
mængde,NOUN,,mængde,sb,,men,NOUN,,,,,
opholdt,VERB,,opholdt,v,,da,ADP,,,,,
sig,PRON,,sig,pron,,saa,INTJ,,,,,
i,ADP,,i,præp,,indgetogen,NOUN,,,,,
Cassel,PROPN,,Cassel,NNP,,kunde,NOUN,,,,,
meget,ADV,,meget,adv,,man,NOUN,,,,,
hengivne,ADJ,,hengivne;,NN,1,intet,PROPN,,,,,
men,CCONJ,,men,konj,,gjøre,VERB,,,,,
da,SCONJ,,da,konj,,En,PROPN,,,,,
de,PRON,,de,pron,,tjener,VERB,,,,,
levede,VERB,,levede,v,,hemmelige,ADJ,,,,,
saa,NOUN,1,saa,adv,,politie,PROPN,,,,,
indgetogen,NOUN,1,indgetogen,NN,1,seer,VERB,,,,,
kunde,NOUN,1,kunde,v,,engang,ADV,,,,,
man,PRON,,man,pron,,tilfældigviis,ADJ,,,,,
intet,PRON,,intet,pron,,datteren,NOUN,,,,,
gjøre,VERB,,gjøre,v,,hun,PRON,,,,,
dem,PRON,,dem,pron,,gefalder,NOUN,,,,,
.,PUNCT,,.,ZP,,ham,PROPN,,,,,
En,DET,,En,pron,,Strax,PROPN,,,,,
tjener,VERB,1,tjener,v,1,udkaster,VERB,,,,,
af,ADP,,af,præp,,han,PRON,,,,,
det,DET,,det,pron,,plan,NOUN,,,,,
hemmelige,ADJ,,hemmelige,adj,,til,PROPN,,,,,
politie,NOUN,,politie,NN,,berøve,PROPN,,,,,
seer,NOUN,1,seer,v,,hende,DET,,,,,
engang,ADV,,engang,adv,,uskyldighed,ADJ,,,,,
tilfældigviis,PROPN,,tilfældigviis,sb,,Nogle,PROPN,,,,,
datteren,NOUN,,datteren,propr,1,dage,NOUN,,,,,
og,CCONJ,,og,konj,,efter,ADV,,,,,
hun,PRON,,hun,pron,,indfinder,VERB,,,,,
gefalder,VERB,,gefalder,NN,1,politiebetjent,NOUN,,,,,
ham,PRON,,ham,pron,,hos,PROPN,,,,,
.,PUNCT,,.,ZP,,befaler,NOUN,,,,,
Strax,NOUN,1,Strax,NNP,1,bydende,ADJ,,,,,
udkaster,VERB,,udkaster,NN,1,tone,NOUN,,,,,
han,PRON,,han,pron,,strax,ADV,,,,,
en,DET,,en,pron,,fremstille,VERB,,,,,
plan,NOUN,,plan,sb,,for,ADP,,,,,
til,ADP,,til,præp,,Overpolitiemesteren,NOUN,,,,,
at,PART,1,at,ATI,,Darlin,PROPN,,,,,
berøve,VERB,,berøve,v,,Moder,PROPN,,,,,
hende,PRON,,hende,pron,,der,DET,,,,,
hendes,DET,,hendes,pron,,vide,ADJ,,,,,
uskyldighed,NOUN,,uskyldighed,NN,,noget,NOUN,,,,,
.,PUNCT,,.,ZP,,ondt,ADJ,,,,,
Nogle,DET,,Nogle,pron,,bevidst,ADJ,,,,,
dage,NOUN,,dage,NN,,forskrækkes,VERB,,,,,
efter,ADP,,efter,præp,,begyndelsen,NOUN,,,,,
indfinder,NOUN,1,indfinder,NN,1,fatte,ADJ,,,,,
sig,PRON,,sig,pron,,mod,PROPN,,,,,
en,DET,,en,pron,,pigen,PROPN,,,,,
politiebetjent,NOUN,,politiebetjent,NN,,gaaer,PROPN,,,,,
hos,ADP,,hos,præp,,hen,PROPN,,,,,
datteren,NOUN,,datteren,sb,,politiemesteren,NOUN,,,,,
",",PUNCT,,",",ZD,,modtager,NOUN,,,,,
og,CCONJ,,og,konj,,artig,NOUN,,,,,
befaler,VERB,,befaler,NN,1,nøder,VERB,,,,,
hende,PRON,,hende,pron,,sidde,VERB,,,,,
i,ADP,,i,præp,,ned,PROPN,,,,,
en,DET,,en,pron,,spørger,VERB,,,,,
bydende,VERB,,bydende,part,,familie-forhold,NOUN,,,,,
tone,NOUN,,tone,NN,,gjør,VERB,,,,,
",",PUNCT,,",",ZD,,slutteligen,ADJ,,,,,
strax,NOUN,1,strax,NN,1,forslag,NOUN,,,,,
at,PART,,at,ATI,,lade,VERB,,,,,
fremstille,VERB,,fremstille,v,,optage,VERB,,,,,
sig,PRON,,sig,pron,,blandt,ADJ,,,,,
for,ADP,,for,præp,,fruentimmers,NOUN,,,,,
Overpolitiemesteren,PROPN,,Overpolitiemesteren,sb,,tal,NOUN,,,,,
Darlin,PROPN,,Darlin,NNP,,staten,NOUN,,,,,
.,PUNCT,,.,ZP,,berettiger,ADJ,,,,,
Moder,NOUN,,Moder,NNP,,føre,PROPN,,,,,
og,CCONJ,,og,konj,,forbuden,ADJ,,,,,
datter,NOUN,,datter,NN,,omgang,NOUN,,,,,
",",PUNCT,,",",ZD,,med,ADV,,,,,
der,ADV,1,der,pron,,mandlige,ADJ,,,,,
ikke,ADV,,ikke,adv,,kjøn,PROPN,,,,,
vide,VERB,,vide,v,,Et,CCONJ,,,,,
sig,PRON,,sig,pron,,saadant,NOUN,,,,,
noget,PRON,,noget,pron,,sprog,NOUN,,,,,
ondt,ADV,,ondt,adj,,er,AUX,,,,,
bevidst,ADJ,,bevidst,adj,,paafaldende;,ADJ,,,,,
",",PUNCT,,",",ZD,,beder,VERB,,,,,
forskrækkes,VERB,,forskrækkes,sb,,nøiere,ADJ,,,,,
i,ADP,,i,præp,,forklaring,NOUN,,,,,
begyndelsen,NOUN,,begyndelsen,NN,,hører,VERB,,,,,
",",PUNCT,,",",ZD,,forundring,ADJ,,,,,
men,CCONJ,,men,konj,,hvor,ADV,,,,,
fatte,ADJ,1,fatte,v,,dybt,ADJ,,,,,
strax,NOUN,1,strax,NN,1,skal,VERB,,,,,
mod,ADP,1,mod,præp,1,fornedres,NOUN,,,,,
",",PUNCT,,",",ZD,,Hun,PROPN,,,,,
og,CCONJ,,og,konj,,springer,PROPN,,,,,
pigen,NOUN,,pigen,NN,,op,NOUN,,,,,
gaaer,VERB,,gaaer,v,,ude,PROPN,,,,,
hen,ADV,,hen,adv,,forskrækkelse,NOUN,,,,,
til,ADP,,til,præp,,iler,PROPN,,,,,
politiemesteren,NOUN,,politiemesteren,sb,,skjælvende,ADJ,,,,,
.,PUNCT,,.,ZP,,nogle,ADV,,,,,
Darlin,NOUN,,Darlin,NNP,,sine,PROPN,,,,,
modtager,VERB,,modtager,v,,beslægtede,ADJ,,,,,
hende,PRON,,hende,pron,,styrter,VERB,,,,,
meget,ADV,,meget,adv,,paa,PROPN,,,,,
artig,ADJ,,artig,NN,1,stoel,NOUN,,,,,
",",PUNCT,,",",ZD,,værelset,NOUN,,,,,
nøder,VERB,,nøder,v,,kan,AUX,,,,,
hende,PRON,,hende,pron,,tale,NOUN,,,,,
til,ADP,,til,præp,,graad,NOUN,,,,,
at,PART,,at,ATI,,Man,PROPN,,,,,
sidde,VERB,,sidde,v,,lader,PROPN,,,,,
ned,ADV,,ned,adv,,moderen,ADJ,,,,,
",",PUNCT,,",",ZD,,hente,PROPN,,,,,
spørger,VERB,,spørger,v,,begynder,VERB,,,,,
om,ADP,,om,præp,,fortælle,VERB,,,,,
hendes,DET,,hendes,pron,,aarsagen,NOUN,,,,,
familie-forhold,NOUN,,familie-forhold,NN,,hæftige,ADJ,,,,,
",",PUNCT,,",",ZD,,smerte,NOUN,,,,,
og,CCONJ,,og,konj,,Gode,PROPN,,,,,
gjør,NOUN,1,gjør,v,,raad,NOUN,,,,,
hende,PRON,,hende,pron,,nu,ADV,,,,,
slutteligen,ADP,1,slutteligen,NN,,dyre,ADJ,,,,,
det,DET,,det,pron,,kjendte,VERB,,,,,
forslag,NOUN,,forslag,NN,,politiets,NOUN,,,,,
at,PART,,at,ATI,,magt,NOUN,,,,,
lade,VERB,,lade,v,,Endelig,ADV,,,,,
sig,PRON,,sig,pron,,besluttede,VERB,,,,,
optage,VERB,,optage,v,,gaae,PROPN,,,,,
blandt,ADP,,blandt,præp,,besværger,VERB,,,,,
de,DET,,de,pron,,henflyder,NOUN,,,,,
fruentimmers,NOUN,,fruentimmers,NN,,taarer,NOUN,,,,,
tal,NOUN,,tal,NN,,forsikkrer,NOUN,,,,,
",",PUNCT,,",",ZD,,uskyldig,ADJ,,,,,
som,ADP,,som,pron,,fordrer,VERB,,,,,
staten,NOUN,,staten,sb,,erstatning,NOUN,,,,,
berettiger,VERB,,berettiger,NN,1,nævner,VERB,,,,,
til,ADP,,til,præp,,anden,PROPN,,,,,
at,PART,,at,ATI,,kaldet,ADJ,,,,,
føre,VERB,,føre,v,,Kautz,PROPN,,,,,
en,DET,,en,pron,,hvem,NOUN,,,,,
forbuden,ADJ,,forbuden,NN,1,havde,VERB,,,,,
omgang,NOUN,,omgang,NN,,faaet,VERB,,,,,
med,ADP,,med,præp,,andrag,PROPN,,,,,
det,DET,,det,pron,,kalde,PROPN,,,,,
mandlige,ADJ,,mandlige,adj,,foreslaae,VERB,,,,,
kjøn,NOUN,,kjøn,sb,,foranførte,VERB,,,,,
.,PUNCT,,.,ZP,,Der,DET,,,,,
Et,DET,,Et,pron,,hengaaer,VERB,,,,,
saadant,ADJ,,saadant,adj,,atter,NOUN,,,,,
sprog,NOUN,,sprog,NN,,nagende,VERB,,,,,
er,AUX,1,er,v,,kummer,PROPN,,,,,
hende,PRON,,hende,pron,,over,ADV,,,,,
paafaldende,ADJ,,paafaldende;,NN,1,denne,DET,,,,,
;,PUNCT,,,,,beskjæmmelse,ADJ,,,,,
hun,PRON,,hun,pron,,see,VERB,,,,,
beder,VERB,,beder,v,,!,PUNCT,,,,,
om,ADP,,om,præp,,bliver,NOUN,,,,,
en,DET,,en,pron,,igjen,ADV,,,,,
nøiere,ADJ,,nøiere,sb,1,fordret,ADJ,,,,,
forklaring,NOUN,,forklaring,NN,,frem,ADV,,,,,
og,CCONJ,,og,konj,,Isteden,PROPN,,,,,
hører,VERB,,hører,v,,fremstiller,VERB,,,,,
med,ADP,,med,præp,,sig;,NOUN,,,,,
forundring,NOUN,,forundring,NN,,hæftig,ADJ,,,,,
",",PUNCT,,",",ZD,,aftvinger,VERB,,,,,
hvor,ADV,,hvor,adv,,endelig,ADJ,,,,,
dybt,ADV,1,dybt,adv,1,erklæring;,NOUN,,,,,
hun,PRON,,hun,pron,,seet,VERB,,,,,
skal,AUX,,skal,v,,sildig,ADJ,,,,,
fornedres,VERB,,fornedres,NN,1,gaden,NOUN,,,,,
